ticker,t0,fwd_max_ret
4439.T,2022-12-14,1.021
4439.T,2024-04-19,1.052
4442.T,2022-02-08,1.086
4444.T,2022-09-13,1.136
4444.T,2023-04-21,1.067
4443.T,2022-06-15,1.019
4449.T,2022-02-15,1.091
4448.T,2022-06-07,1.079
4448.T,2022-12-20,1.11
4448.T,2024-05-23,1.066
4461.T,2023-08-15,1.033
4461.T,2025-02-04,1.025
4461.T,2025-08-08,1.103
4475.T,2021-07-08,1.011
4475.T,2022-03-15,1.036
4475.T,2023-08-08,1.016
4477.T,2024-09-02,1.0
4480.T,2022-02-24,1.094
4479.T,2022-03-14,1.014
4487.T,2023-01-04,1.021
4490.T,2024-03-26,1.001
4493.T,2022-01-17,1.014
4493.T,2022-12-28,1.069
4492.T,2023-08-10,1.195
4488.T,2023-08-08,1.03
4498.T,2022-12-02,1.019
4499.T,2022-12-28,1.072
4499.T,2024-05-10,1.008
4499.T,2025-04-04,1.047
4506.T,2024-05-17,1.036
4506.T,2025-01-15,1.009
4506.T,2025-07-18,1.667
4516.T,2025-07-14,1.049
4523.T,2022-06-15,1.0
4565.T,2022-06-14,1.011
4570.T,2025-05-16,1.072
4570.T,2025-11-18,2.816
4572.T,2023-01-13,1.024
4572.T,2025-08-08,1.199
4575.T,2022-05-16,4.709
4575.T,2022-11-16,2.628
4575.T,2024-03-13,1.333
4579.T,2022-06-16,1.013
4579.T,2025-04-03,1.037
4579.T,2025-10-07,1.516
4586.T,2022-09-07,1.026
4586.T,2023-03-15,1.172
4583.T,2024-05-23,1.035
4584.T,2024-11-28,1.025
4582.T,2021-11-11,1.007
4582.T,2024-01-17,1.093
4582.T,2025-12-03,1.01
4587.T,2023-12-19,1.058
4588.T,2025-05-15,1.03
4588.T,2025-11-17,2.282
4594.T,2022-12-19,1.02
4593.T,2024-02-21,1.008
4593.T,2024-10-24,1.01
4593.T,2025-05-02,1.207
4596.T,2025-09-04,1.521
4592.T,2021-11-26,1.011
4592.T,2023-10-26,1.02
4592.T,2024-05-07,2.266
4592.T,2024-11-07,1.894
4598.T,2023-09-26,1.015
4599.T,2021-10-22,1.021
4620.T,2025-08-22,1.014
4617.T,2025-04-07,1.157
4626.T,2025-02-18,1.003
464A.T,2024-12-13,1.071
464A.T,2025-11-12,1.066
4673.T,2025-04-04,1.082
4676.T,2024-11-11,1.025
4680.T,2024-08-05,1.123
4680.T,2025-04-07,1.172
4691.T,2026-01-29,1.035
4760.T,2024-02-09,1.049
4761.T,2024-04-08,1.087
4776.T,2022-05-17,1.003
4776.T,2024-08-05,1.249
4783.T,2024-08-05,1.346
4777.T,2021-11-29,1.164
4784.T,2024-07-02,1.068
4784.T,2025-01-08,2.876
4811.T,2025-02-20,1.048
4813.T,2023-09-11,1.074
4828.T,2025-04-07,1.028
4833.T,2025-08-28,1.193
4880.T,2022-03-22,1.141
4881.T,2023-12-25,1.016
4881.T,2024-08-05,1.017
4882.T,2023-04-06,1.027
4882.T,2023-10-31,1.002
4882.T,2024-05-10,1.517
4884.T,2022-08-17,1.317
4884.T,2024-02-13,1.091
4889.T,2022-12-21,1.035
4889.T,2025-01-21,3.446
4888.T,2024-02-20,1.078
4888.T,2025-09-11,1.429
4890.T,2024-02-09,1.315
4892.T,2024-08-21,1.003
4891.T,2023-12-25,1.119
4894.T,2024-11-19,1.103
4894.T,2025-12-18,1.043
4902.T,2024-08-06,1.013
4935.T,2024-07-10,7.776
4935.T,2025-01-20,1.508
4933.T,2022-02-17,1.073
4936.T,2022-08-04,1.008
4937.T,2022-08-31,1.048
4960.T,2026-01-23,1.12
4966.T,2025-08-04,1.06
4972.T,2025-08-28,1.007
4971.T,2025-04-04,1.075
4971.T,2025-10-08,1.112
4970.T,2025-08-05,1.049
4970.T,2026-03-23,1.045
4978.T,2024-08-02,1.049
4979.T,2021-12-20,1.047
4980.T,2021-08-17,1.035
4980.T,2024-01-17,1.002
4980.T,2026-02-13,1.057
5010.T,2024-04-05,1.013
5025.T,2024-03-11,1.04
5028.T,2025-04-04,1.025
5032.T,2024-12-03,1.311
5034.T,2025-02-13,1.026
5036.T,2025-04-07,1.039
5074.T,2025-10-14,1.006
5076.T,2025-07-31,1.016
5101.T,2025-04-04,1.116
5121.T,2021-07-08,1.025
5136.T,2024-10-08,1.004
5139.T,2024-08-05,1.111
5161.T,2024-08-07,1.755
5210.T,2023-07-12,1.002
5216.T,2024-04-15,1.456
5216.T,2025-11-17,1.057
5243.T,2024-07-24,1.108
5243.T,2025-01-30,1.527
5243.T,2025-08-05,1.333
5246.T,2024-03-22,1.114
